movie_title,opening_gross,screens
10 Days in a Madhouse ,2451.0,10.0
10 Things I Hate About You ,8330681.0,2271.0
102 Dalmatians ,19883351.0,2704.0
12 Rounds ,5329240.0,2331.0
12 Years a Slave ,923715.0,19.0
127 Hours ,264851.0,4.0
13 Going on 30 ,21054238.0,3438.0
1408 ,20617667.0,2678.0
15 Minutes ,10523154.0,2337.0
16 Blocks ,11855260.0,2706.0
17 Again ,23722310.0,3255.0
2 Guns ,27059130.0,3025.0
2012 ,65237614.0,3404.0
2046 ,113074.0,4.0
21 & Over ,8754168.0,2771.0
21 Grams ,274454.0,8.0
21 Jump Street ,36302612.0,3121.0
21 ,24105943.0,2648.0
22 Jump Street ,57071445.0,3306.0
27 Dresses ,27442040.0,3057.0
28 Days ,10310672.0,2523.0
28 Weeks Later ,9807292.0,2303.0
3 Days to Kill ,12242218.0,2872.0
3:10 to Yuma ,14035033.0,2652.0
30 Days of Night ,15951902.0,2855.0
30 Minutes or Less ,13330118.0,2888.0
300: Rise of an Empire ,45038460.0,3470.0
3000 Miles to Graceland ,7160521.0,2545.0
300 ,70885301.0,
40 Days and 40 Nights ,12229529.0,2225.0
42 ,27487144.0,3003.0
47 Ronin ,9869000.0,2689.0
5 Days of War ,6254.0,2.0
50 First Dates ,45107871.0,3591.0
54 ,6611532.0,1859.0
8 Mile ,51240555.0,2470.0
88 Minutes ,6957216.0,2168.0
8MM ,14252888.0,2370.0
9 ,10740446.0,1661.0
A Beautiful Mind ,2501096.0,524.0
A Bug's Life ,33258052.0,2686.0
A Christmas Carol ,30051075.0,3683.0
A Cinderella Story ,13623350.0,2625.0
A Civil Action ,15163484.0,1802.0
A Dangerous Method ,167953.0,4.0
A Good Day to Die Hard ,24834845.0,3553.0
A Good Year ,3721526.0,2066.0
A Guy Thing ,8006232.0,2515.0
A History of Violence ,515992.0,14.0
A Knight's Tale ,16511391.0,2980.0
A Lot Like Love ,7576593.0,2502.0
A Madea Christmas ,16000000.0,2194.0
A Man Apart ,11019224.0,2459.0
A Mighty Heart ,3948863.0,1355.0
A Million Ways to Die in the West ,17069000.0,3158.0
A Most Violent Year ,1512224.0,818.0
A Most Wanted Man ,2717000.0,361.0
A Night at the Roxbury ,9604791.0,1865.0
A Perfect Getaway ,5948555.0,2159.0
A Scanner Darkly ,391672.0,
A Simple Plan ,3422072.0,660.0
A Simple Wish ,2732880.0,1676.0
A Sound of Thunder ,1190791.0,816.0
A Thousand Words ,6176280.0,1890.0
A Time to Kill ,19630000.0,2123.0
A Very Harold & Kumar 3D Christmas ,12954142.0,2875.0
A Very Long Engagement ,101749.0,4.0
A Walk Among the Tombstones ,12758780.0,2712.0
A Walk on the Moon ,78709.0,7.0
A Walk to Remember ,12177488.0,2411.0
A.I. Artificial Intelligence ,29352630.0,3242.0
Abandon ,5064077.0,2341.0
Abduction ,10925253.0,3118.0
About a Boy ,8557630.0,1207.0
About Last Night ,27838201.0,2253.0
About Schmidt ,282367.0,6.0
About Time ,1076250.0,175.0
Abraham Lincoln: Vampire Hunter ,16306974.0,3108.0
Absolute Power ,16770220.0,2568.0
Across the Universe ,3824988.0,954.0
Act of Valor ,10121.0,12.0
Adaptation. ,384478.0,7.0
Admission ,6154984.0,2160.0
After Earth ,27520040.0,3401.0
After the Sunset ,11100392.0,2819.0
Against the Ropes ,3038546.0,1601.0
Agent Cody Banks 2: Destination London ,8014005.0,2973.0
Agent Cody Banks ,14064317.0,3369.0
Air Force One ,37132505.0,2919.0
Alex & Emma ,6111074.0,2310.0
Alex Cross ,11396768.0,2339.0
Alex Rider: Operation Stormbreaker ,215177.0,221.0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",18360230.0,3088.0
Alexander ,13687087.0,2445.0
Alfie ,6218335.0,2215.0
Alice Through the Looking Glass ,28112000.0,3763.0
Alien: Resurrection ,16474092.0,2415.0
Aliens in the Attic ,8008423.0,3106.0
Aliens vs. Predator: Requiem ,13655306.0,2611.0
Ali ,10216625.0,2446.0
All About Steve ,14058106.0,2251.0
All About the Benjamins ,10007291.0,1505.0
All Good Things ,37172.0,2.0
All the King's Men ,3672366.0,1514.0
All the Pretty Horses ,4860556.0,1548.0
All the Queen's Men ,15026.0,17.0
Almost Famous ,2314646.0,131.0
Aloha ,9670235.0,2815.0
Alone in the Dark ,2834421.0,2124.0
Along Came a Spider ,16712407.0,2530.0
Along Came Polly ,32450825.0,2984.0
Alpha and Omega ,9106906.0,2625.0
Alvin and the Chipmunks: Chipwrecked ,23244744.0,3723.0
Alvin and the Chipmunks: The Road Chip ,14287159.0,3653.0
Alvin and the Chipmunks: The Squeakquel ,48875415.0,3700.0
Alvin and the Chipmunks ,44307417.0,3475.0
Amen. ,16284.0,5.0
America's Sweethearts ,30181877.0,3011.0
American Beauty ,861531.0,16.0
American Dreamz ,3667420.0,1500.0
American Gangster ,43565135.0,3054.0
American Hustle ,740455.0,6.0
American Outlaws ,4855475.0,2348.0
American Pie 2 ,45117985.0,3063.0
American Pie ,18709680.0,2508.0
American Reunion ,21514080.0,3192.0
American Sniper ,89269067.0,3555.0
American Wedding ,33369440.0,3172.0
Amistad ,4661866.0,322.0
An American Carol ,3656000.0,1639.0
An American Haunting ,5783508.0,1680.0
An Ideal Husband ,198802.0,
An Unfinished Life ,1008308.0,139.0
Anacondas: The Hunt for the Blood Orchid ,12812287.0,2905.0
Anaconda ,16620887.0,2456.0
Analyze That ,11034422.0,2635.0
Analyze This ,18383507.0,2518.0
Anastasia ,204350.0,200.0
Anchorman 2: The Legend Continues ,26232425.0,3507.0
Anchorman: The Legend of Ron Burgundy ,28416365.0,3091.0
And So It Goes ,4552000.0,1762.0
Angel Eyes ,9225575.0,2375.0
Angela's Ashes ,54628.0,6.0
Angels & Demons ,46204168.0,3527.0
Anna and the King ,5223416.0,2132.0
Anna Karenina ,320690.0,16.0
Annie ,15861939.0,3116.0
Anonymous ,1012768.0,265.0
Ant-Man ,57225526.0,3856.0
Antitrust ,5486209.0,2433.0
Antwone Fisher ,210013.0,15.0
Antz ,17195160.0,2449.0
Any Given Sunday ,13584625.0,2505.0
Anything Else ,1673125.0,1033.0
Anywhere But Here ,5607137.0,1672.0
Apocalypto ,15005604.0,
Appaloosa ,248847.0,14.0
Ararat ,211130.0,6.0
Arbitrage ,2002165.0,197.0
Are We There Yet? ,18575214.0,2709.0
Argo ,19458109.0,3232.0
Arlington Road ,7515145.0,1631.0
Armageddon ,36089972.0,3127.0
Armored ,6511128.0,1915.0
Arthur Christmas ,12068931.0,3376.0
As Good as It Gets ,12606928.0,1572.0
Assault on Precinct 13 ,6502724.0,2297.0
Asterix at the Olympic Games ,,
Astro Boy ,6702923.0,3014.0
At First Sight ,8444321.0,1814.0
Atlantis: The Lost Empire ,329011.0,2.0
ATL ,11554404.0,
Atonement ,796836.0,32.0
Attack the Block ,137580.0,8.0
August Rush ,9421369.0,2310.0
Austin Powers in Goldmember ,73071188.0,3613.0
Austin Powers: International Man of Mystery ,9548111.0,2187.0
Austin Powers: The Spy Who Shagged Me ,54917604.0,3312.0
Australia ,14800723.0,2642.0
Autumn in New York ,10987006.0,2255.0
Avatar ,77025481.0,3452.0
Avengers: Age of Ultron ,191271109.0,4276.0
AVP: Alien vs. Predator ,38291056.0,3395.0
Away We Go ,130411.0,4.0
Baahubali: The Beginning ,1405000.0,210.0
Babe: Pig in the City ,6162640.0,2384.0
Babel ,389351.0,7.0
Baby Boy ,8606403.0,1533.0
Baby Geniuses ,5613587.0,1689.0
Baby Mama ,17407110.0,2543.0
Babylon A.D. ,11541571.0,3390.0
Bad Boys II ,46522560.0,3186.0
Bad Company ,11007367.0,2944.0
Bad Lieutenant: Port of Call New Orleans ,245398.0,27.0
Bad Moms ,23817340.0,3215.0
Bad Santa ,12292952.0,2005.0
Bad Teacher ,31603106.0,3049.0
Bait ,,
Ballistic: Ecks vs. Sever ,7010474.0,2705.0
Bandits ,13050700.0,3207.0
Bandslam ,2231273.0,2121.0
Bangkok Dangerous ,7783266.0,2650.0
Barbershop 2: Back in Business ,24241612.0,2711.0
Barbershop ,20627433.0,1605.0
Barney's Great Adventure ,2585292.0,540.0
Barney's Version ,65241.0,4.0
Basic Instinct 2 ,3201420.0,
Basic ,11511960.0,2876.0
Batman & Robin ,42872606.0,2934.0
Batman Begins ,48745440.0,3858.0
Batman v Superman: Dawn of Justice ,166007347.0,4242.0
Battle Los Angeles ,37573187.0,3417.0
Battle of the Year ,4603177.0,2008.0
Battleship ,25534825.0,3690.0
Be Cool ,23450212.0,3216.0
Be Kind Rewind ,4050655.0,808.0
Beastly ,9851102.0,1952.0
Beautiful Creatures ,7582595.0,2950.0
Beauty Shop ,12801465.0,2659.0
Beavis and Butt-Head Do America ,20114233.0,2190.0
Because I Said So ,13122865.0,2526.0
Because of Winn-Dixie ,13218723.0,3188.0
Becoming Jane ,2902117.0,601.0
Bedazzled ,13106526.0,2568.0
Bedtime Stories ,27450296.0,3681.0
Bee Movie ,38021044.0,3928.0
Beerfest ,7031228.0,2964.0
Before I Go to Sleep ,1843347.0,1902.0
Behind Enemy Lines ,18736133.0,2770.0
Being John Malkovich ,637721.0,25.0
Being Julia ,101126.0,8.0
Beloved ,8165551.0,1501.0
Beowulf ,27515871.0,3153.0
Beverly Hills Chihuahua ,29300465.0,3215.0
Beyond Borders ,2076402.0,1798.0
Bicentennial Man ,8234926.0,2518.0
Big Daddy ,41536370.0,3027.0
Big Fat Liar ,11554015.0,2531.0
Big Fish ,207377.0,6.0
Big Hero 6 ,56215889.0,3761.0
Big Miracle ,7760205.0,2047.0
Big Momma's House 2 ,27736056.0,3261.0
Big Momma's House ,25661041.0,2802.0
"Big Mommas: Like Father, Like Son ",19000000.0,2821.0
Big Trouble ,3545204.0,1961.0
Birdman or (The Unexpected Virtue of Ignorance) ,2471471.0,857.0
Birthday Girl ,2370809.0,1000.0
Birth ,1705577.0,550.0
Black Hawk Down ,193021.0,4.0
Black Knight ,11102948.0,2571.0
Black Nativity ,3669530.0,1516.0
Black Snake Moan ,4143199.0,
Black Swan ,1443809.0,18.0
Blackhat ,4415000.0,2567.0
Blade: Trinity ,16061271.0,2912.0
Blades of Glory ,33014202.0,3372.0
Blast from the Past ,9160263.0,2542.0
Blended ,18185000.0,3555.0
Bless the Child ,9413684.0,2524.0
Blindness ,1950260.0,1690.0
Blood and Chocolate ,2074300.0,1200.0
Blood and Wine ,420993.0,166.0
Blood Diamond ,8648324.0,
Blood Work ,7312413.0,2525.0
BloodRayne ,1550000.0,985.0
Blow ,12443461.0,2249.0
Blue Crush ,14169455.0,3002.0
Blue Jasmine ,612064.0,6.0
Blue Streak ,19208806.0,2735.0
Boat Trip ,3815075.0,1714.0
Bobby Jones: Stroke of Genius ,1233297.0,1332.0
Bobby ,69039.0,2.0
Body of Lies ,12884416.0,2710.0
Bogus ,1895593.0,1134.0
Bon voyage ,27480.0,1.0
Boogeyman ,19020655.0,3052.0
Boogie Nights ,4681934.0,907.0
Book of Shadows: Blair Witch 2 ,13223887.0,3317.0
Bowfinger ,18062550.0,2706.0
Brave ,66323594.0,4164.0
Breakdown ,12307128.0,2108.0
Breakfast of Champions ,42326.0,7.0
Brick Mansions ,9516855.0,2647.0
Bride of Chucky ,11830855.0,2412.0
Bride Wars ,21058173.0,3226.0
Bridge of Spies ,15371203.0,2811.0
Bridge to Terabithia ,28536717.0,3139.0
Bridget Jones's Diary ,10733933.0,1611.0
Bridget Jones: The Edge of Reason ,8684055.0,530.0
Brighton Rock ,,
Bringing Down the House ,31101026.0,2801.0
Bringing Out the Dead ,6193052.0,1936.0
Brokeback Mountain ,547425.0,5.0
Brokedown Palace ,3871616.0,1740.0
Broken Arrow ,,
Broken City ,8268908.0,2620.0
Brooklyn ,187281.0,5.0
Brother ,60029.0,11.0
Bruce Almighty ,85734045.0,3483.0
Bubble Boy ,2038349.0,1605.0
Buffalo Soldiers ,30977.0,6.0
Bullet to the Head ,4548201.0,2404.0
Bulletproof Monk ,8653542.0,2955.0
Bulworth ,10515839.0,2047.0
Burlesque ,11947744.0,3037.0
Burn After Reading ,19128001.0,2651.0
Burnt ,5002521.0,3003.0
By the Sea ,96250.0,10.0
Cadillac Records ,3445559.0,687.0
Capitalism: A Love Story ,231964.0,4.0
Captain America: Civil War ,179139142.0,4226.0
Captain America: The First Avenger ,65058524.0,3715.0
Captain America: The Winter Soldier ,95023721.0,3938.0
Captain Corelli's Mandolin ,7209345.0,1595.0
Captain Phillips ,26000000.0,3020.0
Carnage ,79795.0,5.0
Cars 2 ,66135507.0,4115.0
Case 39 ,5350570.0,2211.0
Casino Jack ,34528.0,7.0
Cast Away ,28883406.0,2774.0
Catch a Fire ,2026997.0,1306.0
Catch Me If You Can ,30082000.0,3156.0
Catch That Kid ,5824860.0,2847.0
Cats & Dogs: The Revenge of Kitty Galore ,12279363.0,3705.0
Cats & Dogs ,21707617.0,3040.0
Cats Don't Dance ,1212189.0,1252.0
Catwoman ,16728411.0,3117.0
Celebrity ,1588013.0,493.0
Cellular ,10100571.0,2749.0
Center Stage ,4604621.0,1506.0
Central Intelligence ,35535250.0,3508.0
Centurion ,42826.0,12.0
Chain Reaction ,7546000.0,2255.0
Changeling ,9351560.0,1.0
Changing Lanes ,17128062.0,2613.0
Chappie ,13346782.0,3201.0
Charlie and the Chocolate Factory ,56178450.0,
Charlie Bartlett ,1836256.0,1122.0
Charlie St. Cloud ,12381585.0,2718.0
Charlie Wilson's War ,15952430.0,2575.0
Charlie's Angels: Full Throttle ,37634221.0,3459.0
Charlie's Angels ,40128550.0,3037.0
Charlotte's Web ,11457353.0,3566.0
Chasing Liberty ,6081483.0,2400.0
Chasing Mavericks ,2268274.0,2002.0
Cheaper by the Dozen 2 ,15340679.0,3175.0
Cheaper by the Dozen ,27557647.0,3298.0
Chicago ,2074929.0,77.0
Chicken Little ,40049778.0,3654.0
Chicken Run ,17506162.0,2491.0
Child 44 ,621812.0,510.0
Children of Men ,179268.0,
Chill Factor ,5810531.0,2558.0
Chloe ,900688.0,350.0
Chocolat ,3093590.0,658.0
Christmas with the Kranks ,21570867.0,3393.0
Chronicle ,22004098.0,2907.0
Cinderella Man ,18320205.0,2812.0
Cirque du Freak: The Vampire's Assistant ,6293205.0,3074.0
Cirque du Soleil: Worlds Away ,2135000.0,840.0
City by the Sea ,8935426.0,2575.0
City Hall ,,
City of Angels ,15369048.0,2212.0
City of Ember ,3129473.0,2022.0
City of Ghosts ,30547.0,6.0
CJ7 ,49770.0,19.0
Click ,40011365.0,3749.0
Clockstoppers ,10108333.0,2540.0
Closer ,7707972.0,476.0
Cloud Atlas ,9612247.0,2008.0
Cloudy with a Chance of Meatballs 2 ,34017930.0,4001.0
Cloudy with a Chance of Meatballs ,30304648.0,3119.0
Cloverfield ,46146546.0,3411.0
Coach Carter ,29168180.0,2524.0
Coco Before Chanel ,177399.0,5.0
Code Name: The Cleaner ,4244142.0,
Cold Mountain ,14574213.0,2163.0
Collateral Damage ,15058432.0,2824.0
Collateral ,24701458.0,3188.0
Colombiana ,10408176.0,2614.0
Con Air ,24131738.0,2824.0
Concussion ,10513749.0,2841.0
Confessions of a Dangerous Mind ,12537.0,2.0
Confessions of a Teenage Drama Queen ,9350572.0,2503.0
Confidence ,4563588.0,1871.0
Connie and Carla ,3254940.0,1014.0
Conspiracy Theory ,19313566.0,2806.0
Contact ,20584908.0,1923.0
Containment ,,
Contraband ,24349815.0,2863.0
Cop Land ,13510482.0,2233.0
Cop Out ,18211126.0,3150.0
Copying Beethoven ,70460.0,26.0
Coraline ,16849646.0,2299.0
Corky Romano ,9023173.0,2062.0
Corpse Bride ,385078.0,5.0
Country Strong ,30000.0,2.0
Couples Retreat ,34286740.0,3000.0
Courage Under Fire ,12501000.0,1986.0
Courage ,1365000.0,1565.0
Coyote Ugly ,17319282.0,2653.0
Cradle 2 the Grave ,16521486.0,2625.0
Cradle Will Rock ,93998.0,8.0
Crank: High Voltage ,6963565.0,2223.0
Crank ,12896635.0,2515.0
Crazy in Alabama ,1010596.0,1214.0
"Crazy, Stupid, Love. ",19104303.0,3020.0
Creed ,29632823.0,3404.0
Criminal ,5767278.0,2683.0
Critical Care ,43380.0,10.0
Crocodile Dundee in Los Angeles ,7714362.0,2123.0
"Crouching Tiger, Hidden Dragon ",663205.0,16.0
Cruel Intentions ,13020565.0,2312.0
Curious George ,14703405.0,2566.0
Daddy Day Care ,27623580.0,3370.0
Daddy's Home ,38740203.0,3271.0
Dance Flick ,12622450.0,2450.0
Dancer in the Dark ,91612.0,3.0
Dante's Peak ,18479435.0,2657.0
Dark Blue ,3880688.0,2176.0
Dark City ,5576953.0,1754.0
Dark Shadows ,29685274.0,3755.0
Dark Water ,9939251.0,2657.0
Darling Companion ,39962.0,4.0
Date Movie ,21812384.0,2896.0
Date Night ,25207599.0,3374.0
Dawn of the Planet of the Apes ,72611427.0,3967.0
Daybreakers ,15146692.0,2523.0
Daylight ,10014795.0,2175.0
De-Lovely ,400001.0,16.0
Dead Man Down ,5345250.0,2188.0
Dead Man on Campus ,4704688.0,1797.0
Deadpool ,135050000.0,3558.0
Dear John ,30468614.0,2969.0
Death Race ,12621090.0,2532.0
Death Sentence ,5337257.0,1822.0
Death to Smoochy ,4266463.0,2164.0
Deck the Halls ,12001256.0,3205.0
Deconstructing Harry ,356476.0,10.0
Deep Blue Sea ,19107643.0,2854.0
Deep Impact ,41152375.0,3156.0
Deep Rising ,4737793.0,1758.0
Delgo ,511920.0,2160.0
Deliver Us from Evil ,9740471.0,3049.0
Delivery Man ,8215000.0,3036.0
Derailed ,12211986.0,2443.0
Despicable Me 2 ,83517315.0,3997.0
Despicable Me ,56397125.0,3476.0
Detroit Rock City ,2005512.0,1802.0
Deuce Bigalow: European Gigolo ,9626287.0,3127.0
Deuce Bigalow: Male Gigolo ,12224016.0,2151.0
Diary of a Wimpy Kid: Dog Days ,14623599.0,3391.0
Diary of a Wimpy Kid: Rodrick Rules ,23751502.0,3167.0
Diary of a Wimpy Kid ,22126166.0,3077.0
Dickie Roberts: Former Child Star ,6660540.0,2026.0
Dick ,2210267.0,1522.0
Did You Hear About the Morgans? ,6616571.0,2718.0
Die Another Day ,47072040.0,3314.0
Dinner for Schmucks ,23527839.0,2911.0
Dinosaur ,38854851.0,3257.0
Dirty Grandpa ,11111875.0,2912.0
Dirty Work ,3634236.0,1776.0
Disaster Movie ,6945535.0,2642.0
District 9 ,37354308.0,3049.0
Disturbia ,22224982.0,2925.0
Disturbing Behavior ,7070714.0,1842.0
Divergent ,54607747.0,3936.0
Divine Secrets of the Ya-Ya Sisterhood ,16167412.0,2507.0
Django Unchained ,30688000.0,3010.0
DOA: Dead or Alive ,260713.0,505.0
Dodgeball: A True Underdog Story ,30070196.0,2694.0
Dolphin Tale 2 ,15873397.0,3656.0
Domestic Disturbance ,14033112.0,2910.0
Domino ,4670120.0,2223.0
Don't Be Afraid of the Dark ,8525728.0,2760.0
Don't Say a Word ,17090474.0,2802.0
Donnie Brasco ,11660216.0,1503.0
Doogal ,3605899.0,2318.0
Doomsday ,4926565.0,1936.0
Doom ,15488870.0,3043.0
Double Jeopardy ,23162542.0,2547.0
Double Take ,4650.0,1.0
Doubt ,507226.0,15.0
Down to Earth ,20027309.0,2521.0
Downfall ,18195.0,1.0
Dracula 2000 ,8636567.0,2204.0
Dracula Untold ,23514615.0,2885.0
Draft Day ,9783603.0,2781.0
Drag Me to Hell ,15825480.0,2508.0
Dragonball: Evolution ,4756488.0,2181.0
Dragonfly ,10216025.0,2507.0
DragonHeart ,1238000.0,
Dream House ,8129355.0,2661.0
Dreamcatcher ,15027423.0,2945.0
Dreamer: Inspired by a True Story ,9178233.0,2007.0
Dreamgirls ,378950.0,3.0
Dredd ,6278491.0,2506.0
Drillbit Taylor ,10309986.0,3056.0
Drive Angry ,5187625.0,2290.0
Driven ,12174504.0,2905.0
Drive ,11340461.0,2886.0
Drowning Mona ,5802229.0,1981.0
Drumline ,12604705.0,1836.0
"Dude, Where's My Car? ",13845914.0,2087.0
Dudley Do-Right ,3018345.0,1802.0
Due Date ,32689406.0,3355.0
Duets ,2002588.0,581.0
Duma ,105422.0,42.0
Dumb and Dumber To ,14200000.0,3154.0
Dumb and Dumberer: When Harry Met Lloyd ,10845064.0,2609.0
Duplex ,4617128.0,2189.0
Duplicity ,13965110.0,2574.0
Dylan Dog: Dead of Night ,754779.0,875.0
Eagle Eye ,29150721.0,3510.0
Earth to Echo ,8250000.0,3230.0
Earth ,42449.0,8.0
Eastern Promises ,547092.0,15.0
Easy Virtue ,143038.0,10.0
Eat Pray Love ,23104523.0,3082.0
Eddie the Eagle ,6084682.0,2042.0
Edge of Darkness ,17214384.0,3066.0
Edge of Tomorrow ,28760246.0,3490.0
Edtv ,8311290.0,2626.0
Eight Below ,24968601.0,3066.0
Eight Legged Freaks ,6485458.0,2530.0
Elektra ,14792335.0,3203.0
Elf ,31113501.0,3337.0
Elizabeth: The Golden Age ,6153075.0,2001.0
Elizabethtown ,10618711.0,2517.0
Elizabeth ,275131.0,9.0
Ella Enchanted ,6169030.0,1931.0
Elysium ,29807393.0,3284.0
Enchanted ,34440317.0,3730.0
End of Days ,20523595.0,2593.0
End of Watch ,13152683.0,2730.0
Ender's Game ,27017351.0,3407.0
Endless Love ,15059000.0,2800.0
Enemy at the Gates ,13810266.0,1509.0
Enemy of the State ,20038573.0,2393.0
Enough ,17213137.0,2623.0
Enter the Void ,43651.0,3.0
Entrapment ,20145595.0,2815.0
Envy ,6160886.0,2445.0
Epic Movie ,18612544.0,2801.0
Epic ,33531068.0,3882.0
Equilibrium ,541512.0,301.0
Eragon ,23239907.0,3020.0
Eraser ,24566446.0,2410.0
Erin Brockovich ,28138465.0,2848.0
Ernest & Celestine ,13078.0,1.0
Escape from L.A. ,8912557.0,2312.0
Escape from Planet Earth ,15891055.0,3288.0
Escape Plan ,9800000.0,2883.0
Escobar: Paradise Lost ,106869.0,105.0
Eternal Sunshine of the Spotless Mind ,8175198.0,1353.0
EuroTrip ,6711384.0,2512.0
Evan Almighty ,31192615.0,3604.0
Event Horizon ,9511915.0,2311.0
Ever After: A Cinderella Story ,8526904.0,1767.0
Everest ,13242895.0,3006.0
Everybody's Fine ,3852068.0,2133.0
Everyone Says I Love You ,131678.0,3.0
Evil Dead ,25775847.0,3025.0
Evita ,8381055.0,704.0
Ex Machina ,5349500.0,1255.0
Executive Decision ,12100000.0,
Exit Wounds ,18485586.0,2830.0
Exodus: Gods and Kings ,24115934.0,3503.0
Exorcist: The Beginning ,18054001.0,2803.0
Extraordinary Measures ,6012594.0,2545.0
Extreme Measures ,6906546.0,2298.0
Extreme Ops ,2233525.0,1800.0
Extremely Loud & Incredibly Close ,110775.0,6.0
Eye for an Eye ,6968044.0,1528.0
Eye of the Beholder ,5959447.0,1751.0
Eye See You ,32300.0,78.0
Eyes Wide Shut ,21706163.0,2411.0
Failure to Launch ,24411322.0,3057.0
Fair Game ,651802.0,46.0
Faithful ,,
